0 1 4 5
1 6 9 10
2 11 14 15
3 16 19 20
4 21 25 26
5 27 30 31
6 32 35 36
7 37 38 39
8 40 41 42
9 187 188 189

Register usage:
Reg   0:1409286144
Reg   1:        31
Reg   2:        30
Reg   3:         0
Reg   4:         1
Reg   5:         0
Reg   6:         0
Reg   7:         0
Reg   8:         0
Reg   9:         0
Reg  10:         0
Reg  11:         0
Reg  12:         0
Reg  13:         0
Reg  14:         0
Reg  15:         0
Reg  16:         0
Reg  17:         0
Reg  18:         0
Reg  19:         0
Reg  20:         0
Reg  21:         0
Reg  22:         0
Reg  23:         0
Reg  24:         0
Reg  25:         0
Reg  26:         0
Reg  27:         0
Reg  28:         0
Reg  29:         0
Reg  30:         0
Reg  31:         0
